"Select Method","Select Method"
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
Continue,Continue
"Lieferoption (1-2 Tage, CHF 0.00)","Lieferoption (1-2 Tage, CHF 0.00)"
Next,Next
"Cart Subtotal","Cart Subtotal"
"%name,","%name,"
"Welcome to %store_name.","Welcome to %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:"
Email:,Email:
Password:,Password:
"Password you set when creating account","Password you set when creating account"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it."
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
"Quick Checkout","Quick Checkout"
"Proceed through checkout faster","Proceed through checkout faster"
"Order Status","Order Status"
"Check the status of orders","Check the status of orders"
"Manage Addresses","Manage Addresses"
"Store alternative addresses","Store alternative addresses"
"For shipping to multiple family members and friends","For shipping to multiple family members and friends"
"Order History","Order History"
"View past orders","View past orders"
"Field ","Field "
" is required."," is required."
"Payment Method","Payment Method"
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Review & Payments","Review & Payments"
"Select a new payment method","Select a new payment method"
Shipping,Shipping
"Please specify a shipping method.","Please specify a shipping method."
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
none,none
Overview,Overview
Details,Details
BEWERTUNG,BEWERTUNG
"More Information","More Information"
"We'll send your order confirmation here.","We'll send your order confirmation here."
"Not yet calculated","Not yet calculated"
"Order Total","Order Total"
"For delivery questions.","For delivery questions."
Discount,Discount
"Search Terms","Search Terms"
